date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:50	163813/163813	---M-Z	200	added ('OK')	text/html	etag:W/%225891e19d-27fe5%22	https://transvelo.github.io/mediacenter-html/index.html	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/index.html	(from )
21:08:52	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22672c11f8-239b%22	https://transvelo.github.io/robots.txt		(from )
21:08:53	121201/121201	---M-Z	200	added ('OK')	text/css	etag:W/%225891e19d-1d971%22	https://transvelo.github.io/mediacenter-html/assets/css/bootstrap.min.css	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/assets/css/bootstrap.min.css	(from https://transvelo.github.io/mediacenter-html/index.html)
21:08:54	122452/122452	---M-Z	200	added ('OK')	text/css	etag:W/%225891e19d-1de54%22	https://transvelo.github.io/mediacenter-html/assets/css/style.css	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/assets/css/style.css	(from https://transvelo.github.io/mediacenter-html/index.html)
21:08:54	5882/5882	---M-Z	200	added ('OK')	text/css	etag:W/%225891e19d-16fa%22	https://transvelo.github.io/mediacenter-html/assets/css/colors/green.css	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/assets/css/colors/green.css	(from https://transvelo.github.io/mediacenter-html/index.html)
21:08:55	4164/4164	---M-Z	200	added ('OK')	text/css	etag:W/%225891e19d-1044%22	https://transvelo.github.io/mediacenter-html/assets/css/owl.carousel.css	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/assets/css/owl.carousel.css	(from https://transvelo.github.io/mediacenter-html/index.html)
21:08:56	4821/4821	---M-Z	200	added ('OK')	text/css	etag:W/%225891e19d-12d5%22	https://transvelo.github.io/mediacenter-html/assets/css/owl.transitions.css	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/assets/css/owl.transitions.css	(from https://transvelo.github.io/mediacenter-html/index.html)
21:08:57	55844/55844	---M-Z	200	added ('OK')	text/css	etag:W/%225891e19d-da24%22	https://transvelo.github.io/mediacenter-html/assets/css/animate.min.css	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/assets/css/animate.min.css	(from https://transvelo.github.io/mediacenter-html/index.html)
21:08:58	873/873	---M-Z	200	added ('OK')	text/css	etag:W/%225891e19d-369%22	https://transvelo.github.io/mediacenter-html/assets/css/config.css	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/assets/css/config.css	(from https://transvelo.github.io/mediacenter-html/index.html)
21:08:59	5881/5881	---M-Z	200	added ('OK')	text/css	etag:W/%225891e19d-16f9%22	https://transvelo.github.io/mediacenter-html/assets/css/colors/blue.css	/Users/thiemdao/Desktop/project/theme/mediacenter/transvelo.github.io/mediacenter-html/assets/css/colors/blue.css	(from https://transvelo.github.io/mediacenter-html/index.html)
